variant_id,canonical_movement,image_path,image_sha256,visual_review,technique_review
SST-FIT-0224-V01,45-degree-sled-leg-press,/fit-v3-images/45-degree-sled-leg-press.png,29e2ae25294d071f50f7a40bbc4b1dccd3410aed9faae0229d0625de7902e97f,delegated AI visual correction review,not individually certified
SST-FIT-0224-V02,45-degree-sled-leg-press,/fit-v3-images/45-degree-sled-leg-press.png,29e2ae25294d071f50f7a40bbc4b1dccd3410aed9faae0229d0625de7902e97f,delegated AI visual correction review,not individually certified
SST-FIT-0224-V03,45-degree-sled-leg-press,/fit-v3-images/45-degree-sled-leg-press.png,29e2ae25294d071f50f7a40bbc4b1dccd3410aed9faae0229d0625de7902e97f,delegated AI visual correction review,not individually certified
SST-FIT-0139-V01,band-standing-hip-adduction,/fit-v3-images/band-standing-hip-adduction.png,1d718c72cd4ba24a5cdf393e8fb70453d930d6c1bd2cad4c58c5e792884eea7f,delegated AI visual correction review,not individually certified
SST-FIT-0139-V02,band-standing-hip-adduction,/fit-v3-images/band-standing-hip-adduction.png,1d718c72cd4ba24a5cdf393e8fb70453d930d6c1bd2cad4c58c5e792884eea7f,delegated AI visual correction review,not individually certified
SST-FIT-0139-V03,band-standing-hip-adduction,/fit-v3-images/band-standing-hip-adduction.png,1d718c72cd4ba24a5cdf393e8fb70453d930d6c1bd2cad4c58c5e792884eea7f,delegated AI visual correction review,not individually certified
SST-FIT-0139-V04,band-standing-hip-adduction,/fit-v3-images/band-standing-hip-adduction.png,1d718c72cd4ba24a5cdf393e8fb70453d930d6c1bd2cad4c58c5e792884eea7f,delegated AI visual correction review,not individually certified
SST-FIT-0139-V05,band-standing-hip-adduction,/fit-v3-images/band-standing-hip-adduction.png,1d718c72cd4ba24a5cdf393e8fb70453d930d6c1bd2cad4c58c5e792884eea7f,delegated AI visual correction review,not individually certified
SST-FIT-0139-V06,band-standing-hip-adduction,/fit-v3-images/band-standing-hip-adduction.png,1d718c72cd4ba24a5cdf393e8fb70453d930d6c1bd2cad4c58c5e792884eea7f,delegated AI visual correction review,not individually certified
SST-FIT-0098-V01,bear-crawl,/fit-v3-images/bear-crawl.png,87a49964dabbc59972e44f596cf42128da94555f4b7c76f1b471d958b2e4294d,delegated AI visual correction review,not individually certified
SST-FIT-0098-V02,bear-crawl,/fit-v3-images/bear-crawl.png,87a49964dabbc59972e44f596cf42128da94555f4b7c76f1b471d958b2e4294d,delegated AI visual correction review,not individually certified
SST-FIT-0098-V03,bear-crawl,/fit-v3-images/bear-crawl.png,87a49964dabbc59972e44f596cf42128da94555f4b7c76f1b471d958b2e4294d,delegated AI visual correction review,not individually certified
SST-FIT-0097-V01,bear-hover,/fit-v3-images/bear-hover.png,0bdd3c84d7f047efcf1ce6ea4990f76fa38c5c8eb279800430073100912d9c03,delegated AI visual correction review,not individually certified
SST-FIT-0097-V02,bear-hover,/fit-v3-images/bear-hover.png,0bdd3c84d7f047efcf1ce6ea4990f76fa38c5c8eb279800430073100912d9c03,delegated AI visual correction review,not individually certified
SST-FIT-0097-V03,bear-hover,/fit-v3-images/bear-hover.png,0bdd3c84d7f047efcf1ce6ea4990f76fa38c5c8eb279800430073100912d9c03,delegated AI visual correction review,not individually certified
SST-FIT-0097-V04,bear-hover,/fit-v3-images/bear-hover.png,0bdd3c84d7f047efcf1ce6ea4990f76fa38c5c8eb279800430073100912d9c03,delegated AI visual correction review,not individually certified
SST-FIT-0085-V01,bent-knee-fallout,/fit-v3-images/bent-knee-fallout.png,b323094187610a477f4292291e2526128001ca108245f95034a4c0078ee74027,delegated AI visual correction review,not individually certified
SST-FIT-0085-V02,bent-knee-fallout,/fit-v3-images/bent-knee-fallout.png,b323094187610a477f4292291e2526128001ca108245f95034a4c0078ee74027,delegated AI visual correction review,not individually certified
SST-FIT-0085-V03,bent-knee-fallout,/fit-v3-images/bent-knee-fallout.png,b323094187610a477f4292291e2526128001ca108245f95034a4c0078ee74027,delegated AI visual correction review,not individually certified
SST-FIT-0085-V04,bent-knee-fallout,/fit-v3-images/bent-knee-fallout.png,b323094187610a477f4292291e2526128001ca108245f95034a4c0078ee74027,delegated AI visual correction review,not individually certified
SST-FIT-0249-V01,cable-high-to-low-chop,/fit-v3-images/cable-high-to-low-chop.png,1589323be7ebb5a6819eeda05bda2956d1b992e64f1cfac28f7ff7308baaaa32,delegated AI visual correction review,not individually certified
SST-FIT-0249-V02,cable-high-to-low-chop,/fit-v3-images/cable-high-to-low-chop.png,1589323be7ebb5a6819eeda05bda2956d1b992e64f1cfac28f7ff7308baaaa32,delegated AI visual correction review,not individually certified
SST-FIT-0249-V03,cable-high-to-low-chop,/fit-v3-images/cable-high-to-low-chop.png,1589323be7ebb5a6819eeda05bda2956d1b992e64f1cfac28f7ff7308baaaa32,delegated AI visual correction review,not individually certified
